word	polarity	subjectivity
\fake	0	-0.09
\falacias\)	0.08	0.06
\falemos	0	-0.09
\fallecido\	-0.08	0.06
\familiar\	0	-0.09
\familiares	0	-0.26
\familias	0	-0.26
\family\	0	-0.09
\famosa\	0	-0.17
\famosillos\	0	-0.09
\famosos\	-0.08	0.06
\fanclub	0	-0.17
\fanfamilyexperience	0	-0.09
\fanny	0	-0.26
\fans	-0.65	0.48
\fans\	0	-0.09
\farkas	0	-1.12
\farmville	0	-0.09
\fashion\	0	-0.17
\faso\	0	-0.09
\favel	0	-0.09
\favorites\	0	-0.09
\fazer\	0	-0.09
\fc	0	-0.09
\fear	0	-0.09
\feature\	0	-0.09
\febre\	0	-0.09
\fechas	0	-0.09
\feli	0	-0.09
\felicidad	0	-0.09
\felizes	0	-0.09
\fenómeno	0	-0.09
\fenómeno\	0	-0.17
\feroz\	0	-0.09
\festival	0	-0.17
\festival\	0	-0.17
\feña\	0	-0.09
\fiel	0	-0.26
\filme	0	-0.09
\fima\	0	-0.26
\find	0.08	0.06
\finita\	0	-0.09
\finitapuntocom\	0	-0.09
\firmeza	0	-0.09
\flaite	0	-0.09
\flaiteland\	0	-0.09
\flaites	0	-0.09
\flaites\	0	-0.09
\flamingo	0	-0.09
\flaytes\	-0.08	0.05
\flesh	0	-0.09
\flyer	0	-0.09
\follow\	0.08	0.06
\followers\	0	-0.09
\fondo	0	-0.09
\forma	0	-0.09
\formula	0	-0.09
\fotos	0	-0.34
\francisc	0	-0.17
\francisco	0	-0.09
\freak\	0	-0.09
\freman\	0	-0.52
\frente	0	-0.09
\friends\	0	-0.09
\ft	0.08	0.06
\fu	0	-0.09
\fu00e3s	0	-0.09
\fuck	0	-0.09
\fude	0	-0.09
\fue	0.08	-0.3
\fuego\	0	-0.09
\fuel\	0	-0.09
\fuente	0	-0.34
\fuera	0	-0.17
\fueraz	0	-0.09
\fueron	0	-1.9
\fuerte\	-0.08	0.06
\fuerza	0.02	-1.93
\fuerza\	0	-0.52
\fuerzachile	-0.08	0.06
\fuerzas	0	-0.09
\fugas	0	-0.09
\fuguet	0	-0.09
\fulaninha	0	-0.09
\fumo	0	-0.09
\future	0	-0.09
\futuro	-0.08	0.01
\fuzarca\	0	-0.09
\fv10	0.08	0.06
\g1-	0	-0.09
\gabriel	-0.08	0.06
\gaia\	0	-0.09
\galardones\	0	-0.09
\ganadores	0	-0.09
\gansito\	0	-0.09
\garage\	0.49	0.37
\garantizar	0	-0.09
\garden\	0	-0.09
\gaston	0	-0.09
\gatubela	0	-0.09
\gaviota\	-0.08	0.06
\gema	0	-0.09
\genera	0	-0.09
\generación	0	-0.09
\general	0	-0.26
\genio\	0	-0.09
\genios\	-0.08	0.06
\gente	-0.02	0.12
\gente\	-0.08	0.06
\genérico\	0	-0.09
\gestu00e3o	0	-0.17
\geva	0	-0.09
\gigante\	0	-0.09
\gigantesco\	0	-0.26
\gigantescos	0	-0.09
\gitana\	0	-0.09
\glacier\	0	-0.09
\glen	0	-0.09
\go	0	-0.09
\gobierno	-0.08	0.01
\gobierno\	-0.08	0.05
\god	0.08	0.05
\godbye	0	-0.09
\goddamn	0	-0.17
\golpistas\	0	-0.09
\gong\	0	-0.09
\governador	0	-0.09
\grabacion	0	-0.09
\grace	0	-0.09
\grace\	0	-0.09
\gracias	-0.02	-0.6
\gracias\	0	-0.09
\graciocito\	0	-0.09
\gran	0	-2.33
\grande\	0.08	0.06
\grandiosos\	0	-0.09
\gratuito	0	-0.09
\gray	0	-0.09
\gren	0	-0.09
\gren\	0	-0.09
\grey	0	-0.09
\grupo	0	-0.26
\grupos\	0	-0.17
\gu00fcergu00fcero\	0	-0.09
\gualeta\	0	-0.26
\guanaco\	0	-0.17
\guardar	0	-0.09
\guarde	0	-0.17
\guerra	-0.08	0.06
\guerreiro\	0.08	0.03
\gurus\	0	-0.09
\gustavo	0	-0.17
\gypsy	0	-0.09
\gypsy\	0	-0.17
\gómez	0	-0.09
\h\	0	-0.17
\ha	0	-0.6
\habemus	0.08	0.05
\habib	0	-0.09
\habitual\	0.08	0.06
\hablar\	-0.08	0.06
\habrá	0	-2.76
\había	0	-0.09
\hace	-0.08	0.03
\hacemos	0	-0.26
\hacen	0	-0.09
\hacen\	0	-0.09
\hacer	0	-0.09
\hacienda	0	-0.09
\hago	0	-0.17
\hahah	0	-0.09
\hairspray\	0	-0.09
\haiti\	0	-0.09
\haití	0	-0.09
\haití\	0.08	0.06
\hall	0	-0.09
\hallan	0	-0.09
\hallucination\	0	-0.09
\hambre	0	-0.09
\han	0	-0.43
\haremos	0	-0.26
\harp\	0	-0.09
\harp\/teorías	0	-0.09
\harrp\	-0.08	0.06
\haré	0	-0.17
\hasta	0	-1.21
\hawai	0	-0.09
\hay	-0.02	-1.98
\hazme	0	-0.09
\hazte	-0.08	0.06
\he	0	-0.43
\heavy\	0	-0.09
\hecha	0	-0.09
\hechi	0	-0.09
\hegemonía\	0	-0.09
\heima\	0	-0.09
\hello\u266b	0	-0.09
\helo	0	-0.09
\hemos	0	-1.38
\hermana\	-0.24	0.18
\hermandad	0	-0.52
\hermanitas\	0	-0.09
\hermanitos\	0	-0.09
\hermanos\	0.08	0.05
\heroes	0	-0.09
\heroes\	0	-0.09
\heter	0	-0.09
\hexis\	0	-0.09
\hey	0.08	0.03
\hice	0.08	0.06
\hienas\	-0.08	0.06
\higuaín	0	-0.09
\hij	0	-0.09
\hija	0	-0.09
\hijo	0	-0.09
\hipotético	0	-0.09
\hispano\	0	-0.09
\hispanohablante\	0	-0.09
\histeria	0.08	-1.85
\historia	0	-0.09
\hizo\	0	-0.17
\hol	0	-0.26
\hola	0	-0.17
\hola\	0.08	0.03
\holanda\	0	-0.09
\hombres\	0	-0.09
\home	-0.16	0.12
\homeless\	0	-0.09
\hope	0	-0.26
\hora	0	-0.09
\horas	0	-0.09
\horda	0	-0.09
\horda\	0	-0.43
\hordas	0	-0.09
\hordas\	-0.16	0.1
\hori	0.08	0.06
\hormigas\	0	-0.09
\hotel	-0.08	0.06
\how	0.08	0.05
\hoy	0	-3.19
\hoyo	0	-0.09
\hubo	0	-0.26
\hugo	-0.08	0.06
\humanitarios	0	-0.09
\hurt	0	-0.09
\hysteria\	0	-0.17
\há	0	-0.17
\i	0.19	0.36
\iaia\	0	-0.09
\id\	-0.08	-0.64
\igual	0	-0.09
\igual\	0	-0.09
\iluminados\	0.08	0.05
\imagem	0	-0.26
\imagen	0	-0.09
\imagenes	-0.16	0.1
\imbecil\	0	-0.09
\impactados\	0	-0.09
\impactante	0	-0.09
\impactantes	0	-0.09
\impetu	0	-0.09
\impiden	0	-0.09
\importante	0	-0.09
\imprecisión\	0	-0.09
\impresentable\	0	-0.09
\improvisa	0	-0.09
\imágenes	0	-0.26
\in	0	-0.26
\in_reply_to_user_id\	0	-0.09
\inaceptable\	0	-0.26
\inaugarion	0	-0.09
\incansablemente\	0	-0.09
\incendio	0	-0.09
\incentivos\	0.08	0.06
\increpan\	0	-0.09
\increíble	0	-0.09
\increíbles	0	-0.09
\incómodas\	0	-0.09
\independientes\	0	-0.09
\indico	0	-0.09
\individuos	0	-0.17
\inescrupulosos	0	-0.09
\infartante\	0	-0.09
\informaci	0	-0.09
\informacion	0	-0.17
\informacion\	-0.08	0.06
\informaciones\	0	-0.09
\información	0	-0.43
\informamos	0	-0.09
\infractus\	0	-0.09
\ing	0	-0.09
\ingeniero	0	-0.52
\ingleses\	0	-0.09
\ingressos	0	-0.17
\inicia	0	-0.09
\inmobiliarios\	0	-0.09
\innombrable\	0	-0.34
\innombrables\	0.08	0.06
\innovació	0	-0.09
\innuendo\	0.08	0.06
\instala	0	-0.09
\intelectualidades\	-0.08	0.06
\inteligencia	0	-0.09
\inteligencia\	0	-0.09
\inteligentes\	0	-0.17
\intenseando\	0	-0.09
\intento\	0	-0.09
\interactividad\	0	-0.09
\interculturalidad\	0	-0.09
\interesante\	0	-0.09
\intereses	0	-0.09
\intermedio\	0.08	0.05
\interminable\	0	-0.26
\internestistico\	0	-0.09
\internet	0	-0.17
\internet\	-0.08	0.06
\interno\	0	-0.09
\interperie\	0	-0.09
\interpretación\	0	-0.34
\intrusos\	-0.08	0.04
\inundada\	0	-0.09
\inusual	0	-0.09
\invasión	0	-0.09
\invasu00e3o	0	-0.17
\investigar	0	-0.09
\invictus\	0	-0.09
\invitados\	0	-0.09
\inyecciones\este	0	-0.09
\io	0	-0.09
\ioio\	0	-0.09
\ipsa	0	-0.09
\iris\	0	-0.17
\is	0	-0.09
\isla	0	-0.6
\it	0	-0.09
\ita9elan\	0	-0.09
\itu00b4s	0	-0.09
\iño\	0	-0.09
\iñor	0	-0.09
\jacob\	0	-0.17
\jaguares	-0.08	0.06
\jaguares\	0	-0.09
\jaime	-0.08	0.06
\jalar\	0	-0.09
\jamás	-0.16	0.1
\janelas	0	-0.09
\japon	0	-0.09
\jaquio\	0	-0.09
\jason	0	-0.09
\jay	0	-0.09
\jb\	0	-0.17
\jec	0	-0.09
\jefe	0	-0.09
\jefecito	0	-0.17
\jellies\	0	-1.81
\jente\	0	-0.09
\jericho	0	-0.09
\jesucristo	0.32	0.24
\jesus	0	-0.09
\joe	0.49	0.37
\joel-santanu00eas\	0	-0.17
\johanachamorro	0	-0.09
\john	0	-0.09
\jonas	0.08	-0.13
\jonas\	0.16	0.11
\jonaticas	0	-0.09
\jonaticas\	-0.16	0.12
\joram	0	-0.09
\jorge	0	-0.17
\jose	0	-0.17
\joyas\	0	-0.26
\joyitas\	0	-0.09
\jua\	0	-0.09
\juan	0	-0.43
\juanelo\	0	-0.09
\juanito\	0.08	0.06
\jubilaste\	0	-0.09
\juega	0	-0.09
\juegos	0	-0.09
\juerte\	-0.08	0.06
\jugando	0	-0.09
\jugando\	0	-0.09
\jugar\	0	-0.09
\jugosos\	0	-0.09
\juguemos	0	-0.09
\juguetada	0	-0.09
\juiz	0	-0.17
\julio	0	-0.09
\jumbo\	0	-0.09
\junaeb	0	-0.17
\junta	0	-0.09
\junte-se	0	-0.09
\juntos	0	-0.17
\just	0	-0.09
\justbeliebers\	-0.08	0.06
\justificaciones\	0	-0.09
\justin	0.05	0.13
\já	0	-0.26
\kachorro\	0	-0.09
\kelo\	0	-1.03
\kena\	0	-0.17
\kep	0	-0.09
\kevin	0	-0.09
\kinetic	0	-0.09
\klara	0.08	0.06
\koyashige	0	-0.09
\kristen	0	-0.17
\l	0	-0.09
\l\	0	-0.09
\la	-3.78	2.75
\laboratório	0	-0.09
\labores	0	-0.09
\lachuleta\	0	-0.09
\lady	0	-0.09
\lagos\	0	-0.09
\laisson	0	-0.09
\lampa\	0	-0.09
\langúeteando\	-0.08	0.06
\largaria	0	-0.09
\largo\	0	-0.09
\las	0.27	-0.15
\lata\	0	-0.17
\latest\	0	-0.09
\lavadora\	0	-0.09
\lave-m	0	-0.09
\laysson	0	-0.09
\laz	-0.16	0.12
\le	0.08	-0.39
\lea	0.08	0.06
\leave	-0.08	0.06
\lecheria\	0.08	0.06
\lectores\	0.08	0.06
\lectura	0	-0.09
\led	0	-0.09
\legitimo	0	-0.09
\lelo\	0	-0.09
\lembrando	0	-0.09
\lentamente	0	-0.09
\lentitud\	0	-0.17
\leo	0	-1.12
\leonard	0	-0.09
\ler	0	-0.09
\les	0.08	0.05
\lesionados\incendios	0	-0.09
\levanta	0	-0.09
\levantar	0	-0.17
\levantar\	0	-0.09
\levantemos	-0.08	-3.49
\leve	-0.08	0.06
\leve\	-0.08	0.05
\levemente	0	-0.09
\levitar	0	-0.09
\ley	0	-0.09
\lhasa	0	-0.09
\liar\	0	-0.09
\libre	0.08	0.06
\lider	0	-0.09
\lider\	0	-0.09
\liderazgo\	-0.16	0.1
\lideres\	0	-0.09
\life	0	-0.09
\liga	0	-0.09
\like	0	-0.09
\limpiamente\	0	-0.09
\linda	0	-0.09
\lindiwi\	0	-0.09
\lindos	0	-0.34
\lindsay	0	-0.09
\lista	0	-0.17
\listed\	0	-0.09
\listo\	0	-0.17
\livin	0	-0.09
\llamame	0	-0.09
\llamamiento	0	-0.17
\llamamiento\	0	-0.09
\llamamos	0	-0.95
\llame	0	-0.09
\llamo	0	-0.17
\llega	-0.08	0.04
\llegan	0	-0.26
\llegar	0	-0.17
\llegaran	0	-0.09
\llegaron	-0.08	0.05
\llego	0	-0.09
\llenarte	0	-0.09
\llenos	0	-0.09
\lloras	0	-0.09
\lloro	0.08	0.06
\llovió	-1.88	1.4
\llueve	0.08	0.06
\lluvia	0	-0.09
\lo	-0.21	-0.24
\loba\	0	-0.09
\lobo\	0	-0.09
\locales\	0	-0.09
\locas	0.08	0.05
\lock	0	-0.09
\loco\	-0.08	0.06
\logo	0	-0.09
\lograr\	0	-0.09
\lol\	0	-0.09
\lolas	0	-0.09
\lolol\	0	-0.09
\londo	0	-0.17
\london	0	-0.09
\longe	0	-0.09
\los	0.1	-5
\lose\	0	-0.09
\lost\	0	-0.09
\lotin	0	-0.09
\lover\	0	-0.17
\lu	0	-0.09
\lu\	0	-0.09
\lucas\	0	-0.09
\luces	0	-0.09
\luchando	0	-0.09
\lucian	0	-0.09
\luciana	0	-0.09
\luck	0	-0.09
\lucybell\	0	-0.09
\luego	-0.08	0.06
\luis	0	-0.6
\lula	0	-0.34
\lula\	0.08	0.05
\luly	0	-0.09
\lumpen\	-0.24	0.15
\lumpens\	0	-0.09
\lupus	0	-0.09
\lynch\	0	-0.26
\lá	0	-0.09
\lánzame	0	-0.09
\lástima\	0	-0.09
\líderes	0	-0.17
\m\	0	-0.09
\mac	0	-0.09
\maca	-0.08	0.06
\macaco	0	-0.09
\machos\	-0.08	0.06
\made	0	-0.09
\madrugada\	0	-0.09
\mago	0	-0.43
\mago\	0	-0.09
\malas	0.08	0.04
\maldades\	0	-0.09
\malene	0	-0.09
\males	0	-0.17
\malos\	0	-0.17
\malvinense\	0	-0.09
\mami	-0.08	0.06
\mamitas\	0	-0.09
\mamá	0	-0.09
\mamá\	0.08	0.06
\manager\	0.16	0.12
\manantiales	0.08	0.06
\manchester	0	-0.09
\mandanos	0	-0.09
\mandarse\	0	-0.09
\manejo	0.08	0.04
\mani	0.08	0.06
\mano	0.49	0.37
\mantener	0	-0.09
\mantengamos	0	-0.09
\mantengan	0.16	0.12
\mantenimiento	0	-0.09
\mantero\	0	-0.09
\manual	0	-0.09
\manuel	0.65	0.46
\mar	0	-1.03
\marcel	0	-0.26
\marcia	0.08	0.06
\marciana\	0	-0.09
\marcos	0	-0.43
\marditos\	0	-0.09
\mareadito\	0	-0.09
\marejada	0	-0.17
\marejada\	0	-0.34
\maremoto	0	-0.34
\maremotos\	0	-0.52
\mareo	0	-0.09
\margaritas	0	-0.17
\maria	0	-0.26
\mariscadero\	0	-0.09
\marisol	0	-0.09
\maroc	0	-0.09
\marrie	0	-0.09
\marta	0	-0.09
\marí	0	-0.09
\mas	0	-0.6
\massive	0	-0.09
\mata\	0	-0.09
\matador	0	-0.09
\maten	0	-0.43
\materialista	0	-0.09
\matiasdelrio	0	-0.09
\matiasdelrio\	0	-0.09
\maty	0	-0.09
\maul	0	-0.09
\mauricio	0	-1.55
\maury	0	-0.09
\maximo	0	-0.09
\mayorista	0	-0.17
\mayulermo	0	-0.09
\mañana	0.16	-1.89
\me	0.91	-0.56
\mecanismos	0	-0.09
\mecheros\	0	-0.09
\media	0	-0.09
\medicina	0	-0.17
\mega-patadaenlapanza-donner\	0	-0.09
\megamountainbike	0	-0.09
\megasismo	0	-0.09
\megasismo\	0	-1.81
\meh	-0.08	0.06
\mejor	0.08	0.06
\mejores	-0.08	0.06
\mel	0	-0.09
\melhorou\	0	-0.09
\menciones	0	-0.09
\mendigou00b7\	0	-0.09
\mendoza	0.08	0.06
\menem	0	-0.09
\meneándose\	-0.08	0.06
\menos	-0.16	0.12
\menstruacion\	0	-0.09
\mentions\	0.08	0.06
\mentira\	-0.08	0.06
\meo	0	-0.17
\mera	0	-0.09
\mercedes	0	-0.09
\messi	0	-0.17
\metalero\	0	-0.17
\meteoro\	0	-0.09
\metro	0	-0.09
\mi	-0.37	0.63
\miami	0	-0.43
\michel	0	-0.26
\michell	0	-0.09
\mido	0	-0.17
\miedoso\	-0.08	0.06
\miente	0	-0.09
\mientras	0.08	0.05
\miercoles	0	-0.09
\mierda	-0.08	0.06
\milagres	0	-0.17
\milagro	0.08	0.06
\milagro\	-0.08	0.06
\miley	0	-0.17
\miliagro	0	-0.09
\militar	0	-1.38
\militares	0	-0.17
\militarizacion\	-0.08	0.06
\militarización\	0	-1.12
\millones	0	-0.09
\mimimi\	0	-0.09
\mimó\	0.08	0.06
\mini-papparazeo\	0	-0.09
\mini-vacaciones\	-0.08	0.06
\ministra	0	-0.09
\ministro	0	-0.78
\minuto	0	-0.34
\minutos\	0	-0.09
\minutos\de	0	-0.09
\mio	0.08	0.06
\miojo\	0	-0.09
\mira	0	-0.34
\miranda\	0.08	0.06
\mire	0	-0.09
\mis	0	-0.6
\misa\	0	-0.09
\misnisterio	0	-0.09
\misteriosa\	0	-0.09
\mitos	0	-0.09
\miut\	0	-0.09
\mo\	0	-0.09
\moda	0	-0.09
\modernidade	0	-0.09
\modu00e3o\	0	-0.09
\molto	0	-0.09
\monange	0	-0.09
\monitor	0	-0.09
\monlight	0	-0.09
\monoteísta	0	-0.09
\monstruo\	0.24	0.15
\montado	0	-0.09
\monte	0	-0.26
\monwalk\	0.08	0.06
\morío\	0	-0.09
\mostro	0.08	0.04
\mostro\	0.16	0.11
\motivos	0	-0.09
\motoclub	0	-0.09
\movida\	-0.08	0.05
\movidit	0	-0.09
\movido\	0	-0.09
\movidos\	0.08	0.06
\movimiento	0.08	0.06
\movió\	0	-0.26
\ms	0	-0.17
\msn\	0	-0.26
\mtuit\	0	-0.09
\mtv	0	-0.09
\mu00c0s	0	-0.09
\mu00e3e\	0	-0.09
\muchas	0.08	0.06
\muero	0	-0.09
\muertos	0	-0.6
\muestrame	0	-0.09
\mueva	0	-0.09
\mujeres	0	-0.09
\mujeres\	0	-0.34
\mujeriego\	0	-0.09
\multiculturalismo\	0	-0.09
\multimedia	0	-0.09
\municipalidades	0	-0.09
\muriendo	0	-0.09
\muse\	0	-0.17
\musical	0	-0.09
\muy	0	-0.69
\my	0	-0.34
\máfia	0	-0.09
\mágica\	0	-0.09
\más	-0.08	-0.21
\méxico	0	-0.86
\mínima	0	-0.17
\mírame	0	-0.09
\mónica	0	-0.09
\música	0	-0.09
\n	0	-0.26
\na	0	-0.52
\na\	0	-0.09
\nacho\	0	-0.17
\nacional\	0	-5
\nacional\(red	0	-0.17
\nacionalismo\	0	-0.09
\nacionalsocialista\	0	-0.09
\nacy\	0	-0.17
\nad	0	-0.09
\nada	0.08	0.06
\nadie	0.08	0.01
\nadien\	0	-0.09
\nana\	0	-0.09
\naplo\	0	-0.09
\naquelas\	0	-0.09
\nas	0	-0.17
\nasa	0	-0.09
\naturales	0	-0.26
\necesidad	0	-0.09
\necesidad\	-0.08	0.02
\necesidades\	-0.16	0.12
\necesitamos	0.08	-0.13
\necesites\	0	-0.09
\necesito	0	-0.43
\negar	0	-0.09
\neimar	0	-0.09
\neive\	0.08	0.06
\nem	0	-0.34
\neourbano\	0	-0.09
\never	0	-0.86
\new	0	-0.09
\new\	0	-0.09
\newell`s	0	-0.09
\news	0	-0.09
\newt	0	-0.09
\next\	0	-0.09
\ni	0	-1.12
\niceto	0	-0.09
\nick	0.16	0.1
\nicola	0	-0.09
\nicolá	0	-0.09
\nigth	0	-0.09
\ninguna	0.08	0.06
\nirvana\	0	-0.09
\nitro\	0	-0.09
\niña	0	-0.09
\niñitos\	-0.08	0.06
\niño	0	-0.09
\no	2.74	4.94
\no\	0.16	0.12
\nobel\	0	-0.09
\noche	0	-0.17
\noche\	0	-0.17
\noise	0.24	0.18
\noise\	0.08	0.06
\normal	-0.08	0.03
\normal\	0	-0.17
\normales	0	-0.09
\normales\	0	-0.26
\normalidad\	0	-0.09
\normaliza\	0	-0.09
\normalmente\	0	-0.09
\norte\	0.08	0.06
\nos	-0.08	-0.9
\noshe\	0.08	0.06
\nosotros	-0.08	0.05
\not	0	-0.09
\notable\	0	-0.09
\notas\	-0.33	0.24
\notese	0	-0.09
\noticia	0	-0.09
\noticia\	0	-0.09
\noticias\	-0.02	0.12
\nova\	0	-0.09
\novedad\	0	-0.09
\novedades\	0	-0.09
\novos	0	-0.09
\nu00e3	0	-0.17
\nu00e3o	0	-0.52
\nuestra	-0.65	0.47
\nuestras	0	-0.09
\nuestro	0	-0.17
\nuestros	0	-0.09
\nueva	0	-0.09
\nueva\	0	-0.17
\nuevas	0	-0.09
\nuevos	-0.08	0.03
\numero	-0.08	0.04
\nunca	0	-1.12
\nvos\	0	-0.09
\nx0\	0	-0.09
\nós	0	-0.26
\número	0	-0.09
\o	-0.08	-3.23
\o\	-0.08	0.06
\oasis\	0	-0.09
\obertura\	0	-0.09
\obina	0	-0.17
\obligar	0	-0.09
\observe	0	-0.09
\obvio	0.08	0.06
\oculto\	-0.16	0.12
\ocultos\	0	-0.09
\ocupado\)	0	-0.09
\ocupantes	0	-0.09
\ocurrieron\	-0.08	0.06
\ocá	0	-0.09
\oda	0	-0.09
\odeio	0	-0.09
\odisea\	0	-0.09
\oe	0	-0.17
\official	0.08	0.06
\oficialismo\	0.08	0.06
\ofrece\	0	-0.09
\oh	-0.02	0.09
\oh\/\yeah\/\come	0.08	0.06
\ohhh	-0.08	0.06
\oie	-0.08	0.06
\oiga	-0.08	0.06
\oigan	0	-0.17
\oir\	0	-0.09
\ojalá	0	-0.26
\ojo	0	-0.09
\ok	-0.02	0.12
\okey\	0	-0.09
\okupando\	0.08	0.06
\ola	-0.08	0.03
\ola\	0	-0.09
\old	0	-0.09
\older	0	-0.09
\olitas\	0	-0.09
\oloco	0	-0.09
\olvidarlo\	0	-0.09
\omnívoro\	0	-0.09
\once\	0	-0.09
\onda	0.08	0.06
\onda\	0.08	0.06
\one	0	-0.09
\onemi\	0	-0.17
\operativo\	0	-0.09
\opinar	0	-0.09
\opine	0	-0.17
\oportuno	0	-0.09
\oportunos\	0	-0.17
\opre	0	-0.17
\or	0	-0.09
\orad	0	-0.09
\orden	0	-0.43
\orden\	0	-0.09
\organización\	-0.24	0.18
\organizence	0	-0.09
\orgullo	0	-0.09
\orra	0	-0.09
\orto	0.08	0.06
\os	0	-0.26
\osa\	0	-0.09
\oscilador	0	-0.09
\oscilatorios	0	-0.09
\oso\	0.08	0.06
\otra	0	-0.26
\otra\	0	-0.09
\otro	0	-0.17
\otro\	0	-0.17
\owl	0	-0.09
\oye	0	-0.09
\pa	0.05	0.17
\paciente	0	-0.09
\pacific	0	-0.09
\paco\	0	-0.09
\pacto	0	-0.26
\pais\	-0.08	0.06
\pajarito\	-0.08	0.06
\pajaritos\	0	-0.09
\palabra\	0.08	0.06
\palante\	0	-0.09
\palito\	0.08	0.06
\palmeras	0	-0.17
\palto\	0	-0.09
\pan	-0.08	0.04
\pana	0	-0.09
\panchita\	-0.49	0.37
\pancho	0	-0.09
\pandillas	0	-0.17
\panqueque	0	-0.09
\pantaleón	0	-0.26
\pantalla\	0	-0.09
\paola	0	-0.26
\papeles	0	-0.09
\papeles\y	0	-0.26
\papu00e	0	-0.17
\papá	0	-0.09
\par	0.08	0.06
\para	-0.02	-1.89
\parabén	0	-0.09
\parabéns	0	-0.43
\paradise	0.08	0.06
\parados\	0	-0.09
\parapa	0.08	0.06
\parche	0	-0.09
\pare	-0.08	0.05
\parece	0	-0.09
\parecía	0	-0.09
\parentes\	0	-0.09
\pareque\	0	-0.09
\parrilla\	0	-0.09
\pasa\	0	-0.09
\pasable	0	-0.09
\pasandolo\	0	-0.09
\pase	-0.08	0.06
\pash	0.08	0.06
\pastoral	0	-0.09
\pasá	0	-0.09
\pato	-0.08	0.06
\patos	0	-0.09
\patron\	0	-0.09
\paty	0	-0.09
\paul	0	-0.09
\país	-0.08	0
\pdte	-0.16	0.12
\peaje\	0	-0.78
\pearl	0	-0.09
\pecadores	0	-0.17
\pechito\	0	-0.09
\pedazo	0.08	0.06
\pedr	0	-0.09
\pedrito	0	-0.26
\pedro	0	-0.09
\pegar	-0.08	0.06
\pegou\	0	-0.09
\peguenlo\	0	-0.09
\pelad	0	-0.09
\pelagatos\	-0.16	0.11
\pelas	0	-0.09
\pellegrini	0	-0.09
\pelluhue\	0	-0.52
\pelo	0	-0.34
\pelolais\	0	-0.09
\peloton\	-0.08	0.06
\pelotón\	0	-0.17
\pelu\	0	-0.09
\penca\	0	-0.09
\penco\	0.08	0.06
\pencoaldia\	0	-0.09
\pendejos\	0	-0.09
\pennyroyal	0	-0.09
\pensamiento	0	-0.09
\pensando	0	-0.09
\pensava	0	-0.09
\pense	-0.08	0.06
\pensé	0	-0.26
\pepe\	0	-0.09
\pepito	0	-0.09
\pequeña\	0	-0.09
\pequeños\	0.08	0.06
\perdon	-0.08	0.06
\pergunta	0	-0.09
\perguntas	0	-0.09
\periferia	0	-0.09
\periodismo	0	-0.09
\periodista\	0	-0.09
\periodistas\	-0.08	0.05
\permiso	0.08	0.06
\permiten\	0	-0.09
\pernos\	0	-0.09
\pero	0	-0.43
\personaje\	0	-0.09
\personas\	0	-0.26
\perturbadoramente	0	-0.09
\peyuhue\	0	-0.34
\peñalolen\	0	-0.26
\pic	0	-0.09
\picardía\	0	-0.09
\pichici\	0	-0.09
\pico	0	-0.17
\piensa	0	-0.09
\pijama	0	-0.09
\piki\	0	-0.09
\pilatos	0	-0.09
\pillaje	0	-0.09
\pillaje\	0	-0.43
\pillo\	0	-0.09
\pillos\	0	-0.09
\pimba\	0	-0.09
\pin	-0.08	0.06
\pinky\	0.08	0.06
\pinocho\	0	-0.17
\pior	0	-0.26
\pipe\	0	-0.09
\pirata	0	-0.09
\pirateadas\	0	-0.09
\piscola	0	-0.09
\piscola\	0	-0.09
\piteate	0	-0.69
\pituco	0	-0.09
\pitéate	0	-0.09
\piñera	0	-0.09
\plan\	-0.08	0.06
\playboy\	0	-0.43
\plaza\	0.08	0.06
\please\	0	-0.09
\plena	0	-0.26
\plus	0	-0.09
\pobladas	0	-0.17
\pobr	-0.08	0.06
\pobrechicho\	0	-0.09
\pobrecitos	0	-0.09
\pobres	-0.08	-1.51
\pode	0	-0.09
\podemos	0.16	-2.24
\poder	0	-0.17
\podrian	0	-0.09
\podrán	0	-0.17
\podéis	0	-0.09
\poema	0	-0.09
\poemas\	0	-0.09
\poesia\	0.08	0.06
\poesía\	0	-0.09
\poeta\	0	-0.43
\polenta\	0	-0.09
\polichinelo\	0	-0.17
\policlínicos	0	-0.09
\policía	0	-0.09
\polido\	0	-0.09
\polillita\	0	-0.09
\politicamente	0.08	0.06
\politicos\	0	-0.09
\pollito	0	-0.17
\pollitos	0	-0.09
\pollo	0.08	0.06
\pollo\	0	-0.26
\polpaico	0	-0.09
\poltergeist\	0	-0.09
\polu00eamica\	0	-0.09
\polvareda	0	-0.09
\polémico\	0	-0.09
\poncho\	0	-0.09
\ponele	0.08	0.06
\ponen\	0	-0.09
\poniendole	0	-0.09
\ponle	0	-0.09
\pop	0	-0.09
\populares\	0	-0.09
\por	-0.35	0.08
\porque	0.08	-0.82
\porque\	-0.08	0.05
\porqué\	0	-0.17
\porta	0	-0.17
\portabilidad	-0.08	0.06
\portadas	0	-0.09
\portal	0.65	0.49
\portaviones\	0	-0.09
\posiblemente	0	-0.17
\positiva\	0	-0.09
\positivamente\	0	-0.09
\possiblement	0	-0.09
\post	0	-0.09
\postletrados\	0	-0.09
\postre\	0.08	0.06
\postrecito	0	-0.09
\potencialmente	0	-0.95
\poti	0	-0.17
\poto\	-0.08	0.06
\pouca	0	-0.26
\pq	-0.08	0.05
\pra	0	-0.17
\pracas\	0	-0.34
